label	index2	r	g	b	tot
1	1	128	174	128	255
2	2	241	214	145	255
3	3	177	122	101	255
4	4	111	184	210	255
5	5	216	101	79	255
6	6	221	130	101	255
7	7	144	238	144	255
8	8	192	104	88	255
9	9	220	245	20	255
10	10	78	63	0	255
11	11	255	250	220	255
12	12	100	100	130	255
13	13	200	200	235	255
14	14	250	250	210	255
15	15	244	214	49	255
16	16	0	151	206	255
17	17	216	101	79	255
18	18	183	156	220	255
19	19	183	214	211	255
20	20	152	189	207	255
21	21	111	184	210	255
22	22	178	212	242	255
23	23	68	172	100	255
24	24	111	197	131	255
25	25	85	188	255	255
26	26	0	145	30	255
27	27	214	230	130	255
28	28	78	63	0	255
29	29	218	255	255	255
30	30	170	250	250	255
31	31	140	224	228	255
32	32	188	65	28	255
33	33	216	191	216	255
34	34	145	60	66	255
35	35	150	98	83	255
36	36	177	122	101	255
37	37	244	214	49	255
38	38	250	250	225	255
39	39	200	200	215	255
40	40	68	131	98	255
41	41	128	174	128	255
42	42	83	146	164	255
43	43	83	146	164	255
44	44	162	115	105	255
45	45	162	115	105	255
46	46	141	93	137	255
47	47	141	93	137	255
48	48	182	166	110	255
49	49	182	166	110	255
50	50	188	135	166	255
51	51	188	135	166	255
52	52	154	150	201	255
53	53	154	150	201	255
54	54	177	140	190	255
55	55	177	140	190	255
56	56	30	111	85	255
57	57	30	111	85	255
58	58	210	157	166	255
59	59	210	157	166	255
60	60	48	129	126	255
61	61	48	129	126	255
62	62	98	153	112	255
63	63	98	153	112	255
64	64	69	110	53	255
65	65	166	113	137	255
66	66	122	101	38	255
67	67	122	101	38	255
68	68	253	135	192	255
69	69	145	92	109	255
70	70	46	101	131	255
71	71	0	108	112	255
72	72	0	108	112	255
73	73	250	250	225	255
74	74	127	150	88	255
75	75	127	150	88	255
76	76	159	116	163	255
77	77	159	116	163	255
78	78	125	102	154	255
79	79	125	102	154	255
80	80	106	174	155	255
81	81	106	174	155	255
82	82	154	146	83	255
83	83	154	146	83	255
84	84	126	126	55	255
85	85	201	160	133	255
86	86	201	160	133	255
87	87	78	152	141	255
88	88	78	152	141	255
89	89	174	140	103	255
90	90	174	140	103	255
91	91	139	126	177	255
92	92	139	126	177	255
93	93	148	120	72	255
94	94	148	120	72	255
95	95	186	135	135	255
96	96	186	135	135	255
97	97	99	106	24	255
98	98	156	171	108	255
99	99	156	171	108	255
100	100	64	123	147	255
101	101	64	123	147	255
102	102	97	113	158	255
