label	name	r	g	b
1	Primary_visual_cortex	230	23	23
2	Medial_superior_temporal_area	15	55	153
3	Sixth_Visual_Area	172	230	92
4	Second_Visual_Area	153	61	142
5	Third_Visual_Area	23	230	195
6	Fourth_Visual_Area	153	90	15
7	Eighth_Visual_Area	126	92	230
8	Primary_Motor_Cortex	65	153	61
9	Primary_Sensory_Cortex	230	23	92
10	Frontal_Eye_Fields	15	102	153
11	Premotor_Eye_Field	230	208	92
12	Area_55b	101	15	153
13	Area_V3A	23	230	38
14	RetroSplenial_Complex	153	15	52
15	Parieto-Occipital_Sulcus_Area_2	23	177	230
16	Seventh_Visual_Area	153	142	15
17	IntraParietal_Sulcus_Area_1	126	230	92
18	Fusiform_Face_Complex	61	65	153
19	Area_V3B	230	23	195
20	Area_Lateral_Occipital_1	15	153	126
21	Area_Lateral_Occipital_2	112	230	92
22	Posterior_InferoTemporal_Complex	153	15	101
23	Middle_Temporal_Area	23	230	142
24	Primary_Auditory_Cortex	153	38	15
25	PeriSylvian_Language_Area	80	23	230
26	Superior_Frontal_Language_Area	92	153	15
27	PreCuneus_Visual_Area	230	146	23
28	Superior_Temporal_Visual_Area	15	153	153
29	Medial_Area_7P	146	92	230
30	Area_7m	94	153	61
31	Parieto-Occipital_Sulcus_Area_1	23	65	230
32	Area_23d	153	114	15
33	Area_Ventral_23_a+b	230	92	126
34	Area_Dorsal_23_a+b	15	153	102
35	Area_31p_Ventral	230	146	92
36	Area_5m	77	15	153
37	Area_5m_ventral	23	230	195
38	Area_23c	153	15	61
39	Area_5L	208	230	92
40	Dorsal_Area_24d	61	92	153
41	Lateral_Area_7A	230	23	38
42	Supplementary_and_Cingulate_Eye_Field	15	126	153
43	Area_6m_Anterior	92	230	126
44	Area_6mp	153	52	15
45	Medial_Area_7A	153	23	230
46	Lateral_Area_7P	142	153	15
47	Area_7PC	230	92	195
48	Area_Lateral_IntraParietal_ventral	15	61	153
49	Ventral_IntraParietal_Complex	126	230	23
50	Medial_IntraParietal_Area	153	153	15
51	Area_1	92	23	230
52	Area_2	65	153	101
53	Area_3a	230	115	23
54	Dorsal_area_6	15	153	126
55	Area_6mp	208	92	230
56	Ventral_Area_6	61	153	94
57	Area_Posterior_24	23	230	65
58	Area_33_prime	153	15	90
59	Anterior_24_prime	230	172	92
60	Area_p32_prime	101	15	153
61	Area_a24	92	230	195
62	Area_dorsal_32	153	38	15
63	Area_8BM	23	92	230
64	Area_p32	153	142	15
65	Area_10r	230	23	115
66	Area_47m	15	153	61
67	Area_8Av	230	208	92
68	Area_8Ad	77	15	153
69	Area_9_Middle	23	230	146
70	Area_8B_Lateral	153	15	77
71	Area_9_Posterior	172	230	92
72	Area_10d	61	92	153
73	Area_8C	230	23	23
74	Area_44	15	142	153
75	Area_45	126	230	92
76	Area_47l	153	52	15
77	Area_anterior_47R	23	153	230
78	Rostral_Area_6	142	153	15
79	Area_IFJa	230	92	172
80	Area_IFJp	15	65	153
81	Area_IFSp	92	230	23
82	Area_IFSa	153	126	15
83	Area_posterior_9-46v	126	23	230
84	Area_46	94	153	61
85	Area_anterior_9-46v	230	115	23
86	Area_9-46d	15	153	101
87	Area_9_anterior	195	92	230
88	Area_10v	61	153	90
89	Area_anterior_10p	23	230	92
90	Polar_10p	153	15	65
91	Area_11l	230	146	92
92	Area_13l	101	15	153
93	Orbital_Frontal_Complex	142	230	195
94	Area_47s	77	153	38
95	Area_Lateral_IntraParietal_dorsal	23	115	230
96	Area_6_anterior	153	153	15
97	Inferior_6-8_Transitional_Area	230	23	101
98	Superior_6-8_Transitional_Area	15	153	38
99	Area_43	208	230	92
100	Area_OP4-PV	61	92	153
101	Area_OP1-SII	230	23	172
102	Area_OP2-3-VS	15	195	153
103	Area_52	172	230	126
104	RetroInsular_Cortex	153	61	15
105	Area_PFcm	38	23	230
106	Posterior_Insular_Area_2	142	153	15
107	Area_TA2	230	92	146
108	Frontal_OPercular_Area_4	15	61	153
109	Middle_Insular_Area	92	230	23
110	Pirform_Cortex	153	126	15
111	Anterior_Ventral_Insular_Area	92	23	230
112	Anterior_Agranular_Insula_Complex	65	153	101
113	Frontal_OPercular_Area_1	230	92	23
114	Frontal_OPercular_Area_3	15	153	77
115	Frontal_OPercular_Area_2	146	92	230
116	Area_PFt	94	153	61
117	Anterior_IntraParietal_Area	23	230	115
118	Entorhinal_Cortex	153	15	61
119	PreSubiculum	230	172	92
120	Hippocampus	101	15	153
121	ProStraite_Area	195	230	195
122	Perirhinal_Ectorhinal_Cortex	61	153	38
123	Area_STGa	23	153	230
124	ParaBelt_Complex	153	153	15
125	Auditory_5_Complex	230	23	90
126	ParaHippocampal_Area_1	15	146	153
127	ParaHippocampal_Area_3	208	230	126
128	Area_STSd_Anterior	77	153	38
129	Area_STSd_Posterior	23	172	230
130	Area_STSv_Posterior	153	61	15
131	Area_TG_Dorsal	230	92	126
132	Area_TE1_Anterior	15	61	153
133	Area_TE1_Posterior	126	230	23
134	Area_TE2_Anterior	153	142	15
135	Area_TF	126	23	230
136	Area_TE2_Posterior	94	153	101
137	Area_PHT	230	115	23
138	Area_PH	15	153	61
139	Area_TemporoParietoOccipital_Junction_1	172	92	230
140	Area_TemporoParietoOccipital_Junction_2	61	153	90
141	Area_TemporoParietoOccipital_Junction_3	23	230	92
142	Dorsal_Transitional_Visual_Area	153	15	55
143	Area_PGp	230	146	92
144	Area_IntraParietal_2	101	15	153
145	Area_IntraParietal_1	142	230	195
146	Area_IntraParietal_0	61	153	38
147	Area_PF_Opercular	23	92	230
148	Area_PF_Complex	153	153	15
149	Area_PFm_Complex	230	23	77
150	Area_PGi	15	172	153
151	Area_PGs	172	230	126
152	Area_V6A	153	61	15
153	VentroMedial_Visual_Area_1	23	23	230
154	VentroMedial_Visual_Area_3	142	153	15
155	ParaHippocampal_Area_2	230	92	115
156	Area_V4t	15	61	153
157	Area_FST	92	230	23
158	Area_V3CD	153	126	15
159	Area_Lateral_Occipital_3	92	23	230
160	VentroMedial_Visual_Area_2	65	153	101
161	Area_31pd	230	92	23
162	Area_31a	15	153	52
163	Ventral_Visual_Complex	146	92	230
164	Area_25	94	153	61
165	Area_s32	23	230	115
166	Posterior_OFC_Complex	153	15	52
167	Area_Posterior_Insular_1	230	172	92
168	Insular_Granular_Complex	101	15	153
169	Area_Frontal_Opercular_5	195	230	195
170	Area_Posterior_10p	61	153	38
171	Area_Posterior_47r	23	153	230
172	Area_TG_ventral	153	153	15
173	Medial_Belt_Complex	230	23	61
