region	label	lobe
2001	Precentral_L	Frontal
2002	Precentral_R	Frontal
2101	Frontal_Sup_2_L	Frontal
2102	Frontal_Sup_2_R	Frontal
2201	Frontal_Mid_2_L	Frontal
2202	Frontal_Mid_2_R	Frontal
2301	Frontal_Inf_Oper_L	Frontal
2302	Frontal_Inf_Oper_R	Frontal
2311	Frontal_Inf_Tri_L	Frontal
2312	Frontal_Inf_Tri_R	Frontal
2321	Frontal_Inf_Orb_2_L	Frontal
2322	Frontal_Inf_Orb_2_R	Frontal
2331	Rolandic_Oper_L	Temporal
2332	Rolandic_Oper_R	Temporal
2401	Supp_Motor_Area_L	Frontal
2402	Supp_Motor_Area_R	Frontal
2501	Olfactory_L	Frontal
2502	Olfactory_R	Frontal
2601	Frontal_Sup_Medial_L	Frontal
2602	Frontal_Sup_Medial_R	Frontal
2611	Frontal_Med_Orb_L	Frontal
2612	Frontal_Med_Orb_R	Frontal
2701	Rectus_L	Frontal
2702	Rectus_R	Frontal
2801	OFCmed_L	Frontal
2802	OFCmed_R	Frontal
2811	OFCant_L	Frontal
2812	OFCant_R	Frontal
2821	OFCpost_L	Frontal
2822	OFCpost_R	Frontal
2831	OFClat_L	Frontal
2832	OFClat_R	Frontal
3001	Insula_L	Insula
3002	Insula_R	Insula
4001	Cingulate_Ant_L	Cingulate
4002	Cingulate_Ant_R	Cingulate
4011	Cingulate_Mid_L	Cingulate
4012	Cingulate_Mid_R	Cingulate
4021	Cingulate_Post_L	Cingulate
4022	Cingulate_Post_R	Cingulate
4101	Hippocampus_L	Temporal
4102	Hippocampus_R	Temporal
4111	ParaHippocampal_L	Temporal
4112	ParaHippocampal_R	Temporal
4201	Amygdala_L	Temporal
4202	Amygdala_R	Temporal
5001	Calcarine_L	Occipital
5002	Calcarine_R	Occipital
5011	Cuneus_L	Occipital
5012	Cuneus_R	Occipital
5021	Lingual_L	Occipital
5022	Lingual_R	Occipital
5101	Occipital_Sup_L	Occipital
5102	Occipital_Sup_R	Occipital
5201	Occipital_Mid_L	Occipital
5202	Occipital_Mid_R	Occipital
5301	Occipital_Inf_L	Occipital
5302	Occipital_Inf_R	Occipital
5401	Fusiform_L	Occipital
5402	Fusiform_R	Occipital
6001	Postcentral_L	Parietal
6002	Postcentral_R	Parietal
6101	Parietal_Sup_L	Parietal
6102	Parietal_Sup_R	Parietal
6201	Parietal_Inf_L	Parietal
6202	Parietal_Inf_R	Parietal
6211	SupraMarginal_L	Parietal
6212	SupraMarginal_R	Parietal
6221	Angular_L	Parietal
6222	Angular_R	Parietal
6301	Precuneus_L	Parietal
6302	Precuneus_R	Parietal
6401	Paracentral_Lobule_L	Parietal
6402	Paracentral_Lobule_R	Parietal
7001	Caudate_L	Temporal
7002	Caudate_R	Temporal
7011	Putamen_L	Temporal
7012	Putamen_R	Temporal
7021	Pallidum_L	Temporal
7022	Pallidum_R	Temporal
7101	Thalamus_L	Temporal
7102	Thalamus_R	Temporal
8101	Heschl_L	Temporal
8102	Heschl_R	Temporal
8111	Temporal_Sup_L	Temporal
8112	Temporal_Sup_R	Temporal
8121	Temporal_Pole_Sup_L	Temporal
8122	Temporal_Pole_Sup_R	Temporal
8201	Temporal_Mid_L	Temporal
8202	Temporal_Mid_R	Temporal
8211	Temporal_Pole_Mid_L	Temporal
8212	Temporal_Pole_Mid_R	Temporal
8301	Temporal_Inf_L	Temporal
8302	Temporal_Inf_R	Temporal
9001	Cerebelum_Crus1_L	Cerebelum
9002	Cerebelum_Crus1_R	Cerebelum
9011	Cerebelum_Crus2_L	Cerebelum
9012	Cerebelum_Crus2_R	Cerebelum
9021	Cerebelum_3_L	Cerebelum
9022	Cerebelum_3_R	Cerebelum
9031	Cerebelum_4_5_L	Cerebelum
9032	Cerebelum_4_5_R	Cerebelum
9041	Cerebelum_6_L	Cerebelum
9042	Cerebelum_6_R	Cerebelum
9051	Cerebelum_7b_L	Cerebelum
9052	Cerebelum_7b_R	Cerebelum
9061	Cerebelum_8_L	Cerebelum
9062	Cerebelum_8_R	Cerebelum
9071	Cerebelum_9_L	Cerebelum
9072	Cerebelum_9_R	Cerebelum
9081	Cerebelum_10_L	Cerebelum
9082	Cerebelum_10_R	Cerebelum
9100	Vermis_1_2	Cerebelum
9110	Vermis_3	Cerebelum
9120	Vermis_4_5	Cerebelum
9130	Vermis_6	Cerebelum
9140	Vermis_7	Cerebelum
9150	Vermis_8	Cerebelum
9160	Vermis_9	Cerebelum
9170	Vermis_10	Cerebelum
